연번,운영방식,도로명주소,지번주소,위치 ,위도,경도,Integrated,Used battery
136,Integrated,서울특별시 관악구 조원로12길 25,서울특별시 관악구 신림동 568-27,조원동주민센터,37.48256328,126.9077947,1,0
137,Integrated,서울특별시 관악구 조원로13길 36,서울특별시 관악구 신림동 1728,제창그로힐아파트,37.48471089,126.9104368,1,0
138,Used battery,서울특별시 관악구 조원로12길 25,서울특별시 관악구 신림동 568-27,조원동주민센터,37.48256328,126.9077947,0,1
139,Integrated,서울특별시 관악구 조원로16길 12,서울특별시 관악구 신림동 1723,신도브레뉴아파트 101동~102동 사이,37.48370001,126.9106311,1,0
140,Integrated,서울특별시 관악구 조원로16길 12,서울특별시 관악구 신림동 1723,신도브레뉴아파트 103동~104동 사이,37.48370001,126.9106311,1,0
141,Integrated,서울특별시 관악구 미성길 122,서울특별시 관악구 신림동 1686,쌍용아파트 101동 분리수거장 내,37.47282851,126.9121735,1,0
142,Integrated,서울특별시 관악구 미성5길 33,서울특별시 관악구 신림동 1563-82,한양아파트 관리사무소 옆,37.47285464,126.9153837,1,0
143,Integrated,서울특별시 관악구 미성5길 40,서울특별시 관악구 신림동 1712,초원아파트 분리수거장 내,37.47334769,126.9140357,1,0
144,Integrated,서울특별시 관악구 난곡로47길 9,서울특별시 관악구 신림동 763,한라타운아파트,37.47654562,126.9151246,1,0
145,Integrated,서울특별시 관악구 난곡로 249,서울특별시 관악구 신림동 763-9,미성동주민센터,37.47617498,126.9155517,1,0
146,Integrated,서울특별시 관악구 미성3길 16,서울특별시 관악구 신림동 1734,동부센트레빌 103동,37.47295297,126.9160619,1,0
147,Integrated,서울특별시 관악구 문성로 74,서울특별시 관악구 신림동 746-43,건영아파트 분리수거장,37.47675629,126.9120581,1,0
148,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 106동,37.47923845,126.90904,1,0
149,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 107동,37.47923845,126.90904,1,0
150,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 111동,37.47923845,126.90904,1,0
151,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 121동 앞,37.47923845,126.90904,1,0
152,Integrated,,서울특별시 관악구 신림동 1481-23,미성동 제2공영주차장 앞,37.47972659,126.9138971,1,0
